name,img_source,ref,category,price,date
"ПИРОГ ТРОПИК ШЕЙК манго и маракуйя, Сдобная Особа, 340 г",/images/tovary/1965430.webp,/magazin/chizhik/sladkaya-vipechka/product/pirog-tropik-sheik-mango-i-marakyiya--sdobnaya-osoba--340-g,sladkaya-vipechka,149.0,28.03.2024
"ФАСОЛЬ GREENOLA стручковая, быстрозамороженная, 800 г",/images/tovary/1965441.webp,/magazin/chizhik/zamorozhennie-ovoshi/product/fasol-GREENOLA-strychkovaya--bistrozamorojennaya--800-g,zamorozhennie-ovoshi,159.0,28.03.2024
"ЧАЙ МАЙСКИЙ сердце цейлона, чёрный байховый, 25х1,7 г",/images/tovary/1965427.webp,/magazin/chizhik/chaj/product/chai-maiskii-serdce-ceilona--chyornii-baihovii--25h1-7-g,chaj,47.0,28.03.2024
"ЗЕФИР СЛИВОЧНЫЙ в глазури, Петербургский Кондитер, 1 кг",/images/tovary/1965408.webp,/magazin/chizhik/zefir/product/zefir-slivochnii-v-glazyri--peterbyrgskii-konditer--1-kg,zefir,299.0,28.03.2024
"ЗЕФИР DELIBON ванильный, 310 г",/images/tovary/1965431.webp,/magazin/chizhik/zefir/product/zefir-DELIBON-vanilnii--310-g,zefir,79.0,28.03.2024
"СМЕСЬ СЛАДКАЯ FOODFEST орехи и сухофрукты, 100 г",/images/tovary/1965405.webp,/magazin/chizhik/suhofrukty/product/smes-sladkaya-FOODFEST-orehi-i-syhofrykti--100-g,suhofrukty,79.0,28.03.2024
"ГРУШИ В СИРОПЕ BOTANICA консервированные половинки, 425 мл",/images/tovary/1965413.webp,/magazin/chizhik/fruktovie-konservy/product/grushi-v-sirope-BOTANICA-konservirovannie-polovinki--425-ml,fruktovie-konservy,79.0,28.03.2024
"МАРМЕЛАД DELIBON ассорти, желейный, 500 г",/images/tovary/1965415.webp,/magazin/chizhik/marmelad/product/marmelad-DELIBON-assorti--jeleinii--500-g,marmelad,99.0,28.03.2024
"ТОМАТНАЯ ПАСТА GREENOLA из отборных помидоров, ГОСТ, 340 г",/images/tovary/1960641.webp,/magazin/chizhik/ovoshnie-konservy/product/tomatnaya-pasta-GREENOLA-iz-otbornih-pomidorov--gost--340-g,ovoshnie-konservy,119.0,27.03.2024
Кукуруза Greenola 340 Г,/images/tovary/1960642.webp,/magazin/chizhik/ovoshnie-konservy/product/kykyryza-Greenola-340-g,ovoshnie-konservy,59.0,27.03.2024
Сахар прессованный ТМ Русский сахар,/images/tovary/1962533.webp,/magazin/chizhik/sugar/product/sahar-pressovannii-tm-rysskii-sahar,sugar,79.0,27.03.2024
"РИС ЩЕДРЫЙ ГОД для плова, 900 г",/images/tovary/1960643.webp,/magazin/chizhik/krupy/product/ris-shedrii-god-dlya-plova--900-g,krupy,99.0,27.03.2024
"Продукт кисломолочный Actimuno Гранат 1,5%",/images/tovary/1965424.webp,/magazin/chizhik/kislomolochnie-produkty/product/prodykt-kislomolochnii-Actimuno-granat-1-5,kislomolochnie-produkty,26.0,27.03.2024
"БЕКОН ВЕНГЕРСКИЙ ВЕРНЕР сырокопчёный, 200 г",/images/tovary/1960639.webp,/magazin/chizhik/kopchenosti/product/bekon-vengerskii-verner-sirokopchyonii--200-g,kopchenosti,129.0,27.03.2024
"СЫР ПЛАВЛЕНЫЙ СВЕТАЕВО с ветчиной, 50%, 400 г",/images/tovary/1960640.webp,/magazin/chizhik/sir-plavlenniy/product/sir-plavlenii-svetaevo-s-vetchinoi--50--400-g,sir-plavlenniy,169.0,27.03.2024
Чай чёрный Майский классический Сердце Цейлона 25пак,/images/tovary/1742228.webp,/magazin/chizhik/chaj/product/chai-chyornii-maiskii-klassicheskii-serdce-ceilona-25pak,chaj,47.0,27.03.2024
"МАРМЕЛАД АССОРТИ DELIBON желейный, 500 г",/images/tovary/1960644.webp,/magazin/chizhik/marmelad/product/marmelad-assorti-DELIBON-jeleinii--500-g,marmelad,99.0,27.03.2024
"ИКРА ДЕЛИКАТЕСНАЯ ДИКОЕ МОРЕ с копчёным лососем, 180 г",/images/tovary/1960646.webp,/magazin/chizhik/ikra/product/ikra-delikatesnaya-dikoe-more-s-kopchyonim-lososem--180-g,ikra,99.0,27.03.2024
Конфеты СЛАДУНИЦА Тирамиссо глазированные 500г,/images/tovary/1324209.webp,/magazin/chizhik/konfety/product/konfeti-sladunica-tiramisso-glazirovannie-500g,konfety,149.0,26.03.2024
Вермишель фунчоза Sen Soy Premium,/images/tovary/1959034.webp,/magazin/chizhik/makarony/product/vermishel-fynchoza-Sen-Soy-Premium,makarony,119.0,26.03.2024
Пирог Сдобная Особа тропик шейк манго-маракуйя 340г,/images/tovary/1338610.webp,/magazin/chizhik/sladkaya-vipechka/product/pirog-sdobnaya-osoba-tropik-sheik-mango-marakyiya-340g,sladkaya-vipechka,149.0,26.03.2024
Крекер Tuc cо вкусом сметаны и лука,/images/tovary/1816843.webp,/magazin/chizhik/chipsy/product/kreker-Tuc-co-vkysom-smetani-i-lyka,chipsy,59.0,26.03.2024
"Чай Майский Сердце Цейлона чёрный байховый цейлонский, 25х1,7г",/images/tovary/1959033.webp,/magazin/chizhik/chaj/product/chai-maiskii-serdce-ceilona-chyornii-baihovii-ceilonskii--25h1-7g,chaj,47.0,26.03.2024
Зефир ПЕТЕРБУРГСКИЙ КОНДИТЕРЪ Сливочный в глазури ароматизированный 1000г,/images/tovary/1959036.webp,/magazin/chizhik/zefir/product/zefir-peterburgskii-konditer-slivochnii-v-glazyri-aromatizirovannii-1000g,zefir,299.0,26.03.2024
Мини-кексы Юбилейное с кусочками молочного шоколада,/images/tovary/1018019.webp,/magazin/chizhik/keksy/product/mini-keksi-ubileinoe-s-kysochkami-molochnogo-shokolada,keksy,99.0,25.03.2024
Бананы вяленые NaturFoods,/images/tovary/1960645.webp,/magazin/chizhik/suhofrukty/product/banani-vyalenie-NaturFoods,suhofrukty,99.0,25.03.2024
Груши в сиропе (половинки) консерв. (Botanica)/КИТАЙ/(425мл(кор.24 шт)),/images/tovary/1959035.webp,/magazin/chizhik/fruktovie-konservy/product/gryshi-v-sirope-polovinki-konserv--Botanica-kitai-425mlkor-24-sht,fruktovie-konservy,79.0,25.03.2024
Масло подсолнечное Золотая Семечка без запаха,/images/tovary/1445371.webp,/magazin/chizhik/maslo/product/maslo-podsolnechnoe-zolotaya-semechka-bez-zapaha,maslo,109.0,24.03.2024
Ананасы Greenola кусочки в сиропе,/images/tovary/1953122.webp,/magazin/chizhik/fruktovie-konservy/product/ananasi-Greenola-kysochki-v-sirope,fruktovie-konservy,99.0,24.03.2024
Шоколад молочный Alpen Gold Фундук,/images/tovary/1941078.webp,/magazin/chizhik/shokolad/product/shokolad-molochnii-Alpen-Gold-fyndyk,shokolad,44.0,23.03.2024
"ФАСОЛЬ GREENOLA красная, в собственном соку, 400 г",/images/tovary/1946548.webp,/magazin/chizhik/ovoshnie-konservy/product/fasol-GREENOLA-krasnaya--v-sobstvennom-soky--400-g,ovoshnie-konservy,54.0,21.03.2024
"Конфеты M&M s драже с арахисом и молочным шоколадом, 45г",/images/tovary/1950163.webp,/magazin/chizhik/konfety/product/konfeti-MM-s-draje-s-arahisom-i-molochnim-shokoladom--45g,konfety,39.0,21.03.2024
Торт Медовик Черемушки 380 Г,/images/tovary/1946555.webp,/magazin/chizhik/torty/product/tort-medovik-cheremyshki-380-g,torty,159.0,21.03.2024
"КРУПА БУЛГУР МИСТРАЛЬ пшеничная, 500 г",/images/tovary/1946562.webp,/magazin/chizhik/krupy/product/krupa-bulgur-mistral-pshenichnaya--500-g,krupy,89.0,21.03.2024
"Крупа гречневая Щедрый год высший сорт, 5х100 г",/images/tovary/1946592.webp,/magazin/chizhik/krupy/product/krypa-grechnevaya-shedrii-god-visshii-sort--5h100-g,krupy,54.0,21.03.2024
"ПЕЧЕНЬЕ АКУЛЬЧЕВ вафельное рассыпчатое, 650 г",/images/tovary/1946579.webp,/magazin/chizhik/pechenie/product/pechene-akulchev-vafelnoe-rassipchatoe--650-g,pechenie,199.0,21.03.2024
Паста ореховая «Nutella»,/images/tovary/1949683.webp,/magazin/chizhik/sladosti/product/pasta-orehovaya-Nutella,sladosti,349.0,21.03.2024
"ВАФЛИ ТРАДИЦИОННЫЕ DELIBON сливочные, 10х20 г",/images/tovary/1946572.webp,/magazin/chizhik/vafli/product/vafli-tradicionnie-DELIBON-slivochnie--10h20-g,vafli,54.0,21.03.2024
"СГУЩЁННОЕ МОЛОКО СВЕТАЕВО цельное, с сахаром, ГОСТ, 360 г",/images/tovary/1946590.webp,/magazin/chizhik/moloko-sgushenoe/product/sgushyonnoe-moloko-svetaevo-celnoe--s-saharom--gost--360-g,moloko-sgushenoe,99.0,21.03.2024
"ПЛОВ ГРАНД МЕНЮ с мясом цыплёнка, 300 г",/images/tovary/1946578.webp,/magazin/chizhik/gorovie-zamorozhennie-bluda/product/plov-grand-menu-s-myasom-ciplyonka--300-g,gorovie-zamorozhennie-bluda,99.0,21.03.2024
"КОКТЕЙЛЬ ДИКОЕ МОРЕ из морепродуктов, в рассоле, 400 г",/images/tovary/1946549.webp,/magazin/chizhik/moreprodukty/product/kokteil-dikoe-more-iz-moreprodyktov--v-rassole--400-g,moreprodukty,229.0,21.03.2024
"ПЕЛЬМЕНИ ЭЛИТНЫЕ ГРАНД МЕНЮ говядина и свинина, 800 г",/images/tovary/1946540.webp,/magazin/chizhik/pelmeni/product/pelmeni-elitnie-grand-menu-govyadina-i-svinina--800-g,pelmeni,199.0,21.03.2024
"ВИШНЯ GREENOLA без косточек, замороженная, 400 г",/images/tovary/1946588.webp,/magazin/chizhik/zamorozhennie-frukty/product/vishnya-GREENOLA-bez-kostochek--zamorojennaya--400-g,zamorozhennie-frukty,139.0,21.03.2024
Бананы вяленые Naturfoods 200г,/images/tovary/1946567.webp,/magazin/chizhik/suhofrukty/product/banani-vyalenie-Naturfoods-200g,suhofrukty,99.0,21.03.2024
"СОСИСКИ МОЛОЧНЫЕ ВЕРНЕР варёные, 500 г",/images/tovary/1946545.webp,/magazin/chizhik/sosiski/product/sosiski-molochnie-verner-varyonie--500-g,sosiski,169.0,21.03.2024
"СЛИВКИ СВЕТАЕВО ультрапастеризованные, 10%, 500 г",/images/tovary/1946566.webp,/magazin/chizhik/slivki/product/slivki-svetaevo-yltrapasterizovannie--10--500-g,slivki,89.0,21.03.2024
Томаты черри 250г,/images/tovary/1372847.webp,/magazin/chizhik/ovoshchi/product/tomati-cherri-250g,ovoshchi,149.0,20.03.2024
Шоколад Alpen Gold молочный 80г,/images/tovary/1946585.webp,/magazin/chizhik/shokolad/product/shokolad-Alpen-Gold-molochnii-80g,shokolad,44.0,20.03.2024
Шоколад Alpen Gold молочный Фундук 80г,/images/tovary/1946596.webp,/magazin/chizhik/shokolad/product/shokolad-Alpen-Gold-molochnii-fyndyk-80g,shokolad,44.0,20.03.2024
Торт Медовик Черёмушки с натуральным мёдом,/images/tovary/1182896.webp,/magazin/chizhik/torty/product/tort-medovik-cheryomyshki-s-natyralnim-myodom,torty,159.0,20.03.2024
Мини-круассаны 7 Days с кремом Ваниль 265г,/images/tovary/1946558.webp,/magazin/chizhik/sladkaya-vipechka/product/mini-kryassani-7-Days-s-kremom-vanil-265g,sladkaya-vipechka,119.0,20.03.2024
Круассан 7 Days Мини с кремом какао 265г,/images/tovary/1878998.webp,/magazin/chizhik/sladkaya-vipechka/product/kryassan-7-Days-mini-s-kremom-kakao-265g,sladkaya-vipechka,119.0,20.03.2024
Набор кондитерских изделий Minis Mix 105г,/images/tovary/1816882.webp,/magazin/chizhik/sladosti/product/nabor-konditerskih-izdelii-Minis-Mix-105g,sladosti,159.0,20.03.2024
Крекер Tuc c cыром,/images/tovary/1481795.webp,/magazin/chizhik/chipsy/product/kreker-Tuc-c-cirom,chipsy,59.0,20.03.2024
Игровой набор Лена Набор посуды 8 пр.,/images/tovary/1816909.webp,/magazin/chizhik/chipsy/product/igrovoi-nabor-lena-nabor-posydi-8-pr-,chipsy,169.0,20.03.2024
Сайра ДИКОЕ МОРЕ тихоокеанская натуральная 240г,/images/tovary/1946584.webp,/magazin/chizhik/ribnie-konservy/product/saira-dikoe-more-tihookeanskaya-natyralnaya-240g,ribnie-konservy,169.0,20.03.2024
Пастила Белёвская пастильная мануфактура Классическая,/images/tovary/1940212.webp,/magazin/chizhik/pastila/product/pastila-belyovskaya-pastilnaya-manyfaktyra-klassicheskaya,pastila,149.0,20.03.2024
"Бананы Naturfoods вяленые, 200г",/images/tovary/1946581.webp,/magazin/chizhik/suhofrukty/product/banani-Naturfoods-vyalenie--200g,suhofrukty,99.0,20.03.2024
Пирожное бисквитное 7DAYS Cake Bar с начинкой  клубника  (30 г х 5 шт),/images/tovary/1942393.webp,/magazin/chizhik/pirozhnie/product/pirojnoe-biskvitnoe-7DAYS-Cake-Bar-s-nachinkoi--klybnika--30-g-h-5-sht,pirozhnie,89.0,19.03.2024
"Кукуруза консервированная Bonduelle, сладкая",/images/tovary/1942395.webp,/magazin/chizhik/ovoshnie-konservy/product/kykyryza-konservirovannaya-Bonduelle--sladkaya,ovoshnie-konservy,99.0,19.03.2024
"NESCAFE GOLD банка, 190 г",/images/tovary/1942392.webp,/magazin/chizhik/kofe/product/NESCAFE-GOLD-banka--190-g,kofe,419.0,19.03.2024
Жевательная резинка Dirol без сахара Арбузно-дынный коктейль 13.6г,/images/tovary/1942394.webp,/magazin/chizhik/zhvachka/product/jevatelnaya-rezinka-Dirol-bez-sahara-arbyzno-dinnii-kokteil-13-6g,zhvachka,22.0,19.03.2024
Жевательная резинка Dirol без сахара Мята 13.6 г,/images/tovary/1942396.webp,/magazin/chizhik/zhvachka/product/jevatelnaya-rezinka-Dirol-bez-sahara-myata-13-6-g,zhvachka,22.0,19.03.2024
"Маслины Bonduelle без косточки, с копченым лососем, 300 г",/images/tovary/1940210.webp,/magazin/chizhik/ovoshnie-konservy/product/maslini-Bonduelle-bez-kostochki--s-kopchenim-lososem--300-g,ovoshnie-konservy,99.0,18.03.2024
"Булгур Мистраль, по-турецки, с вермишелью, 500 г",/images/tovary/1150987.webp,/magazin/chizhik/krupy/product/bylgyr-mistral--po-tyrecki--s-vermishelu--500-g,krupy,89.0,18.03.2024
Печенье АКУЛЬЧЕВ Вафельное Рассыпчатое сахарное 650г,/images/tovary/1940218.webp,/magazin/chizhik/pechenie/product/pechene-akulchev-vafelnoe-rassipchatoe-saharnoe-650g,pechenie,199.0,18.03.2024
Печенье Oreo с какао и начинкой с ванильным вкусом,/images/tovary/1613218.webp,/magazin/chizhik/pechenie/product/pechene-Oreo-s-kakao-i-nachinkoi-s-vanilnim-vkysom,pechenie,119.0,18.03.2024
Говядина Вернер тушеная высший сорт,/images/tovary/1938191.webp,/magazin/chizhik/myasnie-konservy/product/govyadina-verner-tyshenaya-visshii-sort,myasnie-konservy,179.0,17.03.2024
Майонез Миоре С Перепелиными Яйцами 67%,/images/tovary/1938190.webp,/magazin/chizhik/majonez/product/maionez-miore-s-perepelinimi-yaicami-67,majonez,69.0,17.03.2024
Майонез Миоре Провансаль 67%,/images/tovary/1938192.webp,/magazin/chizhik/majonez/product/maionez-miore-provansal-67,majonez,119.0,17.03.2024
Творог Светаево обезжиренный,/images/tovary/1934183.webp,/magazin/chizhik/tvorog/product/tvorog-svetaevo-obezjirennii,tvorog,59.0,16.03.2024
Творог Савушкин 101 зерно зерненый 5%,/images/tovary/1934185.webp,/magazin/chizhik/tvorog/product/tvorog-savyshkin-101-zerno-zernenii-5,tvorog,64.0,16.03.2024
Молоко Светаево цельное питьевое пастеризованное 3.3-6%,/images/tovary/1934161.webp,/magazin/chizhik/moloko/product/moloko-svetaevo-celnoe-pitevoe-pasterizovannoe-3-3-6,moloko,69.0,16.03.2024
Батончик глазированный Snaqfabriq Кокос 40 г,/images/tovary/1934187.webp,/magazin/chizhik/konfety/product/batonchik-glazirovannii-Snaqfabriq-kokos-40-g,konfety,49.0,16.03.2024
Кефир Светаево 1% п/п,/images/tovary/1934169.webp,/magazin/chizhik/kislomolochnie-produkty/product/kefir-svetaevo-1-p-p,kislomolochnie-produkty,69.0,16.03.2024
Ряженка Домик в деревне Для тебя Топленое молоко 2.5% 270г,/images/tovary/1934171.webp,/magazin/chizhik/kislomolochnie-produkty/product/ryajenka-domik-v-derevne-dlya-tebya-toplenoe-moloko-2-5-270g,kislomolochnie-produkty,39.0,16.03.2024
"Йогурт (БиоЙогурт) Активиа с черносливом 2,9% ТМ Danone (Данон)",/images/tovary/1934165.webp,/magazin/chizhik/yogurt/product/iogyrt-bioiogyrt-aktivia-s-chernoslivom-2-9-tm-Danone-danon,yogurt,34.0,16.03.2024
"Коктейль молочный Чудо, шоколад, 3%, 200г",/images/tovary/1934164.webp,/magazin/chizhik/molochnie-produkti/product/kokteil-molochnii-chydo--shokolad--3--200g,molochnie-produkti,39.0,16.03.2024
"Коктейль молочный Чудо, со вкусом клубника, 2%, 200г",/images/tovary/1934182.webp,/magazin/chizhik/molochnie-produkti/product/kokteil-molochnii-chydo--so-vkysom-klybnika--2--200g,molochnie-produkti,39.0,16.03.2024
Творог взбитый Чудо Клубника-Земляника 4% 100г,/images/tovary/1572508.webp,/magazin/chizhik/molochnie-deserty/product/tvorog-vzbitii-chydo-klybnika-zemlyanika-4-100g,molochnie-deserty,49.0,16.03.2024
Творог взбитый Чудо Вишня-Черешня 4% 100г,/images/tovary/1578089.webp,/magazin/chizhik/tvorozhki/product/tvorog-vzbitii-chydo-vishnya-chereshnya-4-100g,tvorozhki,49.0,16.03.2024
